,X.MI,Y.MI,Z.MI,A.MI,C.MI,E.MI,D.MI,G.MI,I.MI,M.MI,P.MI,R.MI,S.MI,T.MI,U.MI
2019-05-30,0.01168,0.02373,0.00499,0.00106,-0.00418,-0.01465,-0.00306,0.00568,-0.00032,-0.00143,0.01514,0.00548,-0.02743,-0.00544,-0.00314
2019-05-31,-0.01389,0.0106,-0.01,-0.01771,0.00418,0.00234,-0.00821,-0.01139,-0.01698,-0.01178,-0.00938,-0.00313,-0.0402,-0.00045,0.00196
2019-06-03,0.00171,-0.01488,0.00668,0.00322,0.0,0.00787,0.01752,-0.00223,-0.00426,-0.00582,0.00207,-0.00196,0.0008,-0.00342,-0.00512
2019-06-04,0.02008,0.00214,0.01404,0.04161,-0.00418,0.01678,0.01423,0.0133,0.02178,0.0176,0.02515,0.00196,0.00588,0.03629,0.02859
2019-06-05,-0.00394,0.00639,0.01304,-0.01472,0.00418,0.00297,-0.01076,-0.00821,-0.00872,0.00809,-0.00696,0.00936,0.02991,-0.00884,-0.03513
2019-06-06,-0.00074,-0.00213,-0.00243,0.0,-0.00418,0.01387,0.0023,0.00348,-0.01284,-0.00547,0.00539,0.01846,0.01513,-0.02018,-0.01118
2019-06-07,0.01008,-0.00855,0.00969,-0.00492,0.0,0.01453,0.00431,0.00253,0.0035,0.00499,0.01953,0.0125,0.02762,0.01417,0.00621
2019-06-10,-0.00147,0.00428,-0.00403,0.00763,-0.0084,-0.01075,0.00286,0.00785,0.00707,0.01506,0.0,0.01234,0.00986,0.03143,0.02191
2019-06-11,0.01291,0.0,0.00161,0.01211,0.00421,0.00343,0.00328,0.01027,0.00076,-0.00023,0.01331,0.01329,-0.00442,0.01076,0.00234
2019-06-12,-0.00024,0.0,-0.01298,-0.00982,-0.01695,0.00716,-0.01622,-0.00217,-0.01045,-0.00468,-0.00391,0.0033,-0.00345,-0.01141,-0.02126
2019-06-13,0.00459,0.0,0.00651,-0.00166,-0.00858,0.017,0.00606,0.00434,0.00763,0.00585,0.00478,-0.00146,-0.01218,0.00281,0.01462
2019-06-14,-0.0058,-0.00858,-0.01553,-0.01247,0.0043,0.0131,0.00287,-0.00279,-0.0025,-0.00515,0.00389,-0.00404,-0.00401,-0.01086,-0.00669
2019-06-17,0.01013,-0.00216,0.00082,-0.00243,-0.06654,0.00165,-0.00532,0.00618,-0.00349,-0.00023,-0.00519,0.0066,0.00676,0.0024,-0.00257
2019-06-18,0.01453,-0.0065,0.02117,0.02153,0.00913,0.02549,0.02041,0.01952,0.02289,0.02159,0.00756,0.03234,0.0324,0.02707,0.03711
2019-06-19,-0.00142,0.01938,0.00803,0.01834,0.00454,-0.0108,0.00465,0.00572,0.01788,0.01504,0.00879,-0.01138,0.00145,0.0076,0.01627
2019-06-20,0.00331,0.0,0.00478,0.00749,-0.00454,0.00324,0.00952,-0.00572,-0.00864,-0.00317,0.01525,0.02263,0.01246,0.01834,-0.00527
2019-06-21,0.00588,0.00213,0.00634,-0.00394,0.00905,0.00676,0.01713,0.00752,-0.00839,0.00769,-0.00021,0.00175,0.00428,0.03391,0.00226
2019-06-24,-0.004,-0.01501,0.02267,-0.03438,0.0,-0.00112,-0.00577,0.0006,-0.00011,0.0018,0.01759,-0.00105,-0.01097,-0.022,-0.0167
2019-06-25,-0.00094,-0.02404,-0.01401,-0.00409,-0.00905,-0.00386,-0.00566,-0.0045,-0.00342,-0.00518,-0.00695,-0.01089,-0.00433,-0.0082,-0.01757
2019-06-26,0.00071,0.01319,0.00078,0.01399,0.00454,-0.02053,0.0047,-0.00332,0.00502,0.02013,-0.00415,-0.01244,0.00481,-0.02226,0.02539
2019-06-27,-0.00733,-0.01762,0.01245,0.00021,0.08248,0.00148,-0.0029,-0.00302,0.00043,0.00662,0.00088,0.00713,-0.00336,0.00921,0.02049
2019-06-28,0.00403,0.00664,0.00155,0.0141,0.07232,0.00916,0.00963,0.00302,0.00181,-0.00286,0.01304,0.0141,0.0091,0.00104,0.00704
2019-07-01,0.01198,-0.00664,0.00077,0.00459,-0.01957,-0.00228,0.00233,0.00422,-0.00768,-0.01288,-0.00173,0.00872,0.01043,0.0054,-0.01508
